dataset,smoothing_method,parameter,perplexity
train_80%_frequency_None,add_k,k=0.1,107.05893093646078
train_80%_frequency_None,add_k,k=0.5,254.77162102259763
train_80%_frequency_None,add_k,k=1.0,382.8401027039188
train_80%_frequency_None,add_k,k=2.0,569.0759907107756
train_80%_frequency_None,add_k,k=5.0,912.9444374291176
train_80%_frequency_None,linear_interpolation,lambda=0.1,347.0292199035802
train_80%_frequency_None,linear_interpolation,lambda=0.3,296.63239643900914
train_80%_frequency_None,linear_interpolation,lambda=0.5,280.97770883581535
train_80%_frequency_None,linear_interpolation,lambda=0.7,284.65398642296674
train_80%_frequency_None,linear_interpolation,lambda=0.9,318.0683182837371
internal_val_frequency_None,add_k,k=0.1,203.5667820630062
internal_val_frequency_None,add_k,k=0.5,343.42520749960136
internal_val_frequency_None,add_k,k=1.0,461.3844867972256
internal_val_frequency_None,add_k,k=2.0,631.3729449122776
internal_val_frequency_None,add_k,k=5.0,947.71645362069
internal_val_frequency_None,linear_interpolation,lambda=0.1,352.65659127481206
internal_val_frequency_None,linear_interpolation,lambda=0.3,310.7727808337758
internal_val_frequency_None,linear_interpolation,lambda=0.5,301.9026529166868
internal_val_frequency_None,linear_interpolation,lambda=0.7,313.6477396986384
internal_val_frequency_None,linear_interpolation,lambda=0.9,362.874828506909
train_full_frequency_None,add_k,k=0.1,111.06949385718184
train_full_frequency_None,add_k,k=0.5,261.68134201689315
train_full_frequency_None,add_k,k=1.0,393.08503737050137
train_full_frequency_None,add_k,k=2.0,586.2472765164024
train_full_frequency_None,add_k,k=5.0,949.9939122281518
train_full_frequency_None,linear_interpolation,lambda=0.1,353.1884759086101
train_full_frequency_None,linear_interpolation,lambda=0.3,302.1085682574835
train_full_frequency_None,linear_interpolation,lambda=0.5,286.278579515203
train_full_frequency_None,linear_interpolation,lambda=0.7,290.2295042988633
train_full_frequency_None,linear_interpolation,lambda=0.9,324.90536759595
validation_frequency_None,add_k,k=0.1,192.02393295483844
validation_frequency_None,add_k,k=0.5,329.8582693065175
validation_frequency_None,add_k,k=1.0,447.8208911639271
validation_frequency_None,add_k,k=2.0,621.2062312064483
validation_frequency_None,add_k,k=5.0,953.998979090044
validation_frequency_None,linear_interpolation,lambda=0.1,349.6772823862403
validation_frequency_None,linear_interpolation,lambda=0.3,305.8069341834156
validation_frequency_None,linear_interpolation,lambda=0.5,295.4568227957218
validation_frequency_None,linear_interpolation,lambda=0.7,305.61845965860147
validation_frequency_None,linear_interpolation,lambda=0.9,352.28599319960546
train_80%_frequency_None,add_k,k=0.1,107.05893093646078
train_80%_frequency_None,add_k,k=0.5,254.77162102259763
train_80%_frequency_None,add_k,k=1.0,382.8401027039188
train_80%_frequency_None,add_k,k=2.0,569.0759907107756
train_80%_frequency_None,add_k,k=5.0,912.9444374291176
train_80%_frequency_None,linear_interpolation,lambda=0.1,347.0292199035802
train_80%_frequency_None,linear_interpolation,lambda=0.3,296.63239643900914
train_80%_frequency_None,linear_interpolation,lambda=0.5,280.97770883581535
